time,DE
0,0.02956
1,0.028460000000000003
2,0.02666
3,0.024480000000000002
4,0.024010000000000004
5,0.021230000000000002
6,0.02262
7,0.02504
8,0.02624
9,0.03221
10,0.04134
11,0.04351
12,0.04302
13,0.04429
14,0.04624
15,0.05061
16,0.05947
17,0.06498999999999999
18,0.06174
19,0.05507
20,0.04801
21,0.04401
22,0.045200000000000004
23,0.038
24,0.038
25,0.03356
26,0.03203
27,0.03229
28,0.0367
29,0.04172
30,0.04918
31,0.058750000000000004
32,0.06567
33,0.06611
34,0.06898
35,0.07354000000000001
36,0.07816
37,0.07887000000000001
38,0.07923999999999999
39,0.07995999999999999
40,0.08145999999999999
41,0.08092
42,0.07495
43,0.06318
44,0.05711
45,0.04804
46,0.040990000000000006
47,0.03835
48,0.040799999999999996
49,0.03921
50,0.03736
51,0.03617
52,0.03821
53,0.04258
54,0.04944
55,0.05353
56,0.06348
57,0.06498999999999999
58,0.06019
59,0.05996
60,0.0598
61,0.05886
62,0.06498999999999999
63,0.06883
64,0.07359
65,0.08228
66,0.08297
67,0.07903
68,0.07323
69,0.06741
70,0.065
71,0.05812
72,0.058710000000000005
73,0.0536
74,0.05444
75,0.05518
76,0.05825
77,0.05915
78,0.07265
79,0.08502
80,0.09147
81,0.0942
82,0.09198
83,0.09040000000000001
84,0.08669
85,0.08596
86,0.09211
87,0.09862000000000001
88,0.10573
89,0.13323
90,0.14465
91,0.125
92,0.10359
93,0.10001
94,0.09486
95,0.08883
96,0.08883
97,0.08309000000000001
98,0.08
99,0.08017
100,0.08249
101,0.08814
102,0.10979000000000001
103,0.16501
104,0.29901
105,0.24912
106,0.25586000000000003
107,0.21111000000000002
108,0.20328000000000002
109,0.19698
110,0.19786
111,0.29994
112,0.44964
113,0.52625
114,0.34995
115,0.18191
116,0.1496
117,0.11281999999999999
118,0.1001
119,0.09287000000000001
120,0.08488
121,0.08320000000000001
122,0.08203
123,0.08218
124,0.08253
125,0.08413
126,0.08448
127,0.08743000000000001
128,0.09087
129,0.09498000000000001
130,0.10041
131,0.10365
132,0.10233
133,0.09775
134,0.09551000000000001
135,0.0985
136,0.11
137,0.11827
138,0.10694
139,0.10227
140,0.09498000000000001
141,0.09063
142,0.08934
143,0.0828
144,0.08615
145,0.08245999999999999
146,0.07922
147,0.07753
148,0.07689
149,0.07742
150,0.07845
151,0.08037000000000001
152,0.08421
153,0.08757
154,0.08975
155,0.09199
156,0.0915
157,0.08752
158,0.08723
159,0.09064
160,0.09620999999999999
161,0.10427
162,0.10609
163,0.10355
164,0.1005
165,0.09331
166,0.09117
167,0.08386
168,0.08702
169,0.08431999999999999
170,0.08181999999999999
171,0.07911
172,0.07848000000000001
173,0.08209999999999999
174,0.0943
175,0.11122
176,0.12111
177,0.12073
178,0.1139
179,0.10554000000000001
180,0.09784000000000001
181,0.09487999999999999
182,0.10246
183,0.11064
184,0.128
185,0.13231
186,0.13001
187,0.12212
188,0.11420999999999999
189,0.10283
190,0.09998
191,0.09149
192,0.08782
193,0.08669
194,0.085
195,0.08413
196,0.08541
197,0.08928
198,0.10851000000000001
199,0.12322
